"filename", "language", "Makefile", "C", "C++", "Shell Script", "Properties", "Markdown", "nasm", "comment", "blank", "total"
"c:\msys64\home\N0ne\myos\Makefile", "Makefile", 83, 0, 0, 0, 0, 0, 0, 14, 19, 116
"c:\msys64\home\N0ne\myos\README.md", "Markdown", 0, 0, 0, 0, 0, 225, 0, 0, 45, 270
"c:\msys64\home\N0ne\myos\include\drivers\ide.h", "C++", 0, 0, 25, 0, 0, 0, 0, 4, 7, 36
"c:\msys64\home\N0ne\myos\include\drivers\io.h", "C++", 0, 0, 33, 0, 0, 0, 0, 7, 3, 43
"c:\msys64\home\N0ne\myos\include\drivers\keyboard.h", "C++", 0, 0, 8, 0, 0, 0, 0, 1, 6, 15
"c:\msys64\home\N0ne\myos\include\drivers\pic.h", "C++", 0, 0, 12, 0, 0, 0, 0, 10, 6, 28
"c:\msys64\home\N0ne\myos\include\drivers\rtl8139.h", "C++", 0, 0, 38, 0, 0, 0, 0, 9, 11, 58
"c:\msys64\home\N0ne\myos\include\drivers\terminal.h", "C++", 0, 0, 31, 0, 0, 0, 0, 1, 5, 37
"c:\msys64\home\N0ne\myos\include\fs\fat.h", "C++", 0, 0, 60, 0, 0, 0, 0, 12, 12, 84
"c:\msys64\home\N0ne\myos\include\kernel\elf.h", "C++", 0, 0, 34, 0, 0, 0, 0, 3, 7, 44
"c:\msys64\home\N0ne\myos\include\kernel\gdt.h", "C++", 0, 0, 55, 0, 0, 0, 0, 3, 7, 65
"c:\msys64\home\N0ne\myos\include\kernel\idt.h", "C++", 0, 0, 12, 0, 0, 0, 0, 1, 6, 19
"c:\msys64\home\N0ne\myos\include\kernel\syscall.h", "C++", 0, 0, 24, 0, 0, 0, 0, 1, 4, 29
"c:\msys64\home\N0ne\myos\include\kernel\task.h", "C++", 0, 0, 49, 0, 0, 0, 0, 3, 9, 61
"c:\msys64\home\N0ne\myos\include\kernel\timer.h", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\msys64\home\N0ne\myos\include\lib\mylibc.h", "C++", 0, 0, 108, 0, 0, 0, 0, 13, 20, 141
"c:\msys64\home\N0ne\myos\include\lib\stdio.h", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\msys64\home\N0ne\myos\include\lib\stdlib.h", "C++", 0, 0, 17, 0, 0, 0, 0, 0, 8, 25
"c:\msys64\home\N0ne\myos\include\lib\string.h", "C++", 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
